463 1686069841 0,400000 -1,000000 -101,000000 0,000000 0,000000
463 1686069842 0,400000 -1,000000 -101,000000 0,000000 0,000000
463 1686069843 0,400000 -1,000000 -101,000000 0,000000 0,000000
463 1686069844 0,400000 -1,000000 -101,000000 0,000000 0,000000
463 1686069845 0,400000 -1,000000 -101,000000 0,000000 0,000000
421 1686069856 0,600000 -1,000000 -101,000000 0,000000 0,000000
421 1686069857 0,600000 -1,000000 -101,000000 0,000000 0,000000
421 1686069858 0,600000 -1,000000 -101,000000 0,000000 0,000000
463 1686069856 0,600000 -1,000000 -101,000000 0,000000 0,000000
463 1686069857 0,600000 -1,000000 -101,000000 0,000000 0,000000
463 1686069858 0,600000 -1,000000 -101,000000 0,000000 0,000000
421 1686069859 0,600000 -1,000000 -101,000000 0,000000 0,000000
421 1686069860 0,600000 -1,000000 -101,000000 0,000000 0,000000
421 1686069861 0,600000 -1,000000 -101,000000 0,000000 0,000000
421 1686069862 0,600000 -1,000000 -101,000000 0,000000 0,000000
421 1686069863 0,600000 -1,000000 -101,000000 0,000000 0,000000
421 1686069864 0,600000 -1,000000 -101,000000 0,000000 0,000000
421 1686069865 0,600000 -1,000000 -101,000000 0,000000 0,000000
421 1686069866 0,400000 -1,000000 -101,000000 0,000000 0,000000
421 1686069867 0,400000 -1,000000 -101,000000 0,000000 0,000000
421 1686069868 0,400000 -1,000000 -101,000000 0,000000 0,000000
463 1686069859 0,600000 -1,000000 -101,000000 0,000000 0,000000
463 1686069860 0,600000 -1,000000 -101,000000 0,000000 0,000000
463 1686069861 0,600000 -1,000000 -101,000000 0,000000 0,000000
463 1686069862 0,600000 -1,000000 -101,000000 0,000000 0,000000
463 1686069863 0,600000 -1,000000 -101,000000 0,000000 0,000000
463 1686069864 0,600000 -1,000000 -101,000000 0,000000 0,000000
463 1686069865 0,600000 -1,000000 -101,000000 0,000000 0,000000
463 1686069866 0,200000 -1,000000 -101,000000 0,000000 0,000000
463 1686069867 0,200000 -1,000000 -101,000000 0,000000 0,000000
463 1686069868 0,200000 -1,000000 -101,000000 0,000000 0,000000
421 1686069869 0,400000 -1,000000 -101,000000 0,000000 0,000000
421 1686069870 0,400000 -1,000000 -101,000000 0,000000 0,000000
463 1686069869 0,200000 -1,000000 -101,000000 0,000000 0,000000
463 1686069870 0,200000 -1,000000 -101,000000 0,000000 0,000000
421 1686069906 0,800000 -1,000000 -101,000000 0,000000 0,000000
421 1686069907 0,800000 -1,000000 -101,000000 0,000000 0,000000
421 1686069908 0,800000 -1,000000 -101,000000 0,000000 0,000000
421 1686069909 0,800000 -1,000000 -101,000000 0,000000 0,000000
421 1686069910 0,800000 -1,000000 -101,000000 0,000000 0,000000
421 1686069911 0,800000 -1,000000 -101,000000 0,000000 0,000000
421 1686069912 0,800000 -1,000000 -101,000000 0,000000 0,000000
421 1686069913 0,800000 -1,000000 -101,000000 0,000000 0,000000
421 1686069914 0,800000 -1,000000 -101,000000 0,000000 0,000000
421 1686069915 0,800000 -1,000000 -101,000000 0,000000 0,000000
421 1686069916 0,400000 -1,000000 -101,000000 0,000000 0,000000
421 1686069917 0,400000 -1,000000 -101,000000 0,000000 0,000000
421 1686069918 0,400000 -1,000000 -101,000000 0,000000 0,000000
463 1686069906 0,600000 -1,000000 -101,000000 0,000000 0,000000
463 1686069907 0,600000 -1,000000 -101,000000 0,000000 0,000000
463 1686069908 0,600000 -1,000000 -101,000000 0,000000 0,000000
